LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,
Hurstville,120,,125,,125,,123,,128,s,129,,130,,130,,125,,130,,125,,125,,130,,125,,125,,130,,130,,130,,130,,130,,135,,135,,140,,140,,135,,143,,145,,145,,148,,150,,148,,150,,150,,150,,150,,150,,150,,158,,165,,160,,160,,165,,170,,165,,170,,170,,185,,178,,175,,175,,180,,195,,175,,178,,170,,190,,180,,190,,190,,180,,200,,180,,190,,195,,200,,195,,210,,230,,253,,220,,220,,220,,230,,268,,260,,280,,265,,300,,290,,300,,280,,280,,300,,320,s,300,,300,,300,,330,,310,,320,,320,,320,,320,,330,,335,,375,,405,,380,,400,
Kogarah,130,s,123,s,128,s,125,s,130,s,123,s,125,s,125,s,120,s,125,s,125,s,128,s,125,s,125,s,125,s,120,s,120,s,125,s,120,s,125,s,130,s,140,s,138,s,130,s,125,s,-,,140,s,138,s,143,s,145,s,145,s,143,s,148,s,145,s,145,s,150,s,150,s,155,s,165,s,165,s,165,s,170,s,180,s,183,s,185,,190,s,170,s,190,s,180,s,180,s,165,s,180,s,230,,195,s,195,,230,,185,s,218,s,190,,195,,208,s,200,s,230,s,228,s,230,s,260,s,230,s,260,s,245,s,260,s,250,s,290,s,260,s,-,,255,s,260,s,320,s,280,s,280,s,270,s,310,s,300,s,303,s,310,s,303,s,315,s,303,s,310,s,310,s,350,s,388,s,340,s,330,s,-,,360,s,300,s,-,,365,s,350,s
Ku-Ring-Gai,155,s,150,s,-,,148,s,160,s,150,s,155,s,-,,150,s,150,s,150,s,150,s,150,s,150,s,148,s,155,s,150,s,163,s,150,s,155,s,158,s,150,s,163,s,160,s,160,s,173,s,173,s,175,s,180,s,185,s,165,s,180,s,190,s,180,s,200,s,193,s,188,s,-,,200,s,210,s,233,,245,s,235,s,250,s,245,,295,s,240,s,220,s,270,s,248,s,210,s,245,s,240,s,240,s,230,s,235,s,228,s,245,s,240,s,250,s,240,s,260,s,235,s,250,s,250,s,260,s,265,s,253,s,250,s,270,s,275,s,-,,280,s,335,s,310,s,325,s,345,s,350,,320,,380,,380,,400,,380,,400,,415,,470,,450,,450,s,470,,460,,450,,443,,465,,478,,470,,460,,480,,475,,473,
Manly,150,,150,,150,,155,,155,,150,,150,,150,,150,,150,,150,,150,,150,,150,,155,,155,,165,,165,,160,,165,,170,,170,,175,,180,,180,,175,,190,,193,,200,,200,,210,,200,,210,,230,,230,,240,,235,,238,,250,,258,,280,,275,,275,,295,,300,,280,,278,,290,,300,,295,,300,,300,,300,,300,,300,,300,,305,,300,,280,,320,,325,,310,,310,,330,,330,,320,,323,,350,,350,,353,,350,,380,,370,,390,,400,,400,,400,,385,,380,,420,,445,,438,,435,,450,,450,,450,,450,,450,,478,,485,,460,,480,,500,,500,,483,,500,,540,,530,,500,
Parramatta,120,,125,,125,,125,,125,,130,,125,,120,,125,,120,,113,,120,,120,,120,,120,,120,,125,,125,,120,,125,,125,,120,,130,,130,,130,,125,,135,,133,,140,,140,,135,,145,,150,,145,,125,,140,,120,,150,,133,,150,,158,,160,,160,,150,,170,,165,,165,,175,,173,,170,,175,,170,,180,,175,,175,,193,,200,,185,,180,,185,,210,,213,,205,,210,,195,,203,,210,,215,,230,,220,,228,,238,,250,,280,,270,,275,,270,,290,,320,,310,,310,,338,,320,,330,,330,,330,,330,,345,,330,,340,,320,,333,,360,,345,,365,,360,,343,,380,,350,
Rockdale,140,,130,,130,,130,,135,,130,,130,,130,,130,,130,,135,,125,,135,,125,,135,,130,,135,,135,,135,,130,,130,,140,,140,,143,,140,,150,,145,,143,,150,,150,,150,,150,,145,,150,,155,,155,,160,,160,,160,,163,,170,,170,,180,,173,,175,,180,,188,,175,,175,,180,,175,,180,,185,,180,,190,,185,,200,,200,,230,,220,,210,,205,,220,,200,,245,,220,,235,,250,,260,,240,,260,,288,,300,,320,,290,,295,,343,,335,,300,,310,,300,,360,,348,,350,,320,,350,,340,,420,,370,,360,,400,,380,,420,,420,,360,,380,,420,,450,,438,
Ryde,125,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,127,,125,,130,,125,,125,,130,,130,,130,,130,,135,,135,,135,,140,,140,,145,,145,,145,,150,,150,,150,,155,,150,,155,,160,,155,,160,,160,,165,,170,,165,,175,,180,,180,,185,,180,,181,,175,,180,,180,,185,,180,,180,,185,,190,,185,,185,,185,,190,,190,,198,,190,,200,,195,,200,,200,,210,,210,,220,,220,,233,,240,,258,,265,,280,,280,,270,,275,,285,,285,,290,,310,,295,,310,,320,,320,,340,,330,,330,,328,,350,,340,,350,,340,,355,,360,,370,,410,,400,
Strathfield,115,s,120,s,130,s,134,s,125,s,140,s,130,s,135,s,135,s,125,s,128,s,130,s,130,s,133,s,123,s,130,s,128,s,-,,130,s,-,,135,s,115,s,145,s,135,s,140,s,150,s,-,,-,,150,s,160,s,150,s,160,s,160,s,160,s,155,s,-,,150,s,270,,200,s,208,s,185,s,260,s,235,s,290,,270,,240,,230,,260,s,250,s,250,,250,s,280,s,270,,263,s,273,s,290,s,200,,250,s,250,s,240,s,240,,250,,215,s,255,,250,,260,s,260,,260,,268,,270,,250,,280,,300,,310,s,315,,345,s,315,s,320,s,323,s,330,,360,,378,,340,s,350,s,320,s,360,,380,,360,s,365,s,365,,385,s,380,s,380,s,390,s,390,,380,,400,s,400,s,375,s
Willoughby,165,,165,,168,,165,,163,,170,,175,,160,,160,,168,,160,,165,,165,,160,,160,,170,,165,,160,,170,,180,,195,,195,,195,,195,,200,,220,,203,,220,,235,,225,,220,,220,,230,,230,,230,,230,,230,,250,,250,,250,,310,,330,,300,,310,,320,,320,,320,,310,,313,,320,,320,,330,,330,,340,,330,,330,,320,,340,,330,,320,,338,,340,,345,,330,,340,,350,,353,,353,,370,,380,,380,,400,,410,,420,,420,,445,,430,,440,,438,,438,,440,,450,,455,,450,,460,,460,,480,,478,,475,,490,,480,,490,,490,,503,,493,,500,,480,,500,,530,
Outer Ring,115,,115,,115,,120,,115,,115,,120,,120,,120,,120,,115,,120,,115,,120,,115,,120,,120,,125,,120,,120,,125,,125,,130,,125,,130,,130,,135,,135,,135,,140,,140,,140,,145,,140,,140,,145,,150,,150,,150,,160,,150,,155,,165,,170,,160,,165,,170,,175,,170,,170,,165,,170,,180,,175,,180,,190,,180,,185,,190,,190,,185,,190,,190,,198,,195,,200,,200,,200,,200,,220,,213,,230,,230,,245,,245,,250,,240,,250,,250,,250,,265,,270,,260,,278,,290,,282,,280,,300,,290,,300,,305,,310,,305,,320,,300,,330,,340,,330,,330,
