All Dwellings - One Bedroom,Median Rent ($ per Week) by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,
Hurstville,120,,123,,120,,120,,130,,130,,125,,130,,125,,130,,125,,125,,125,,125,,130,,130,,128,,130,,130,,135,,130,,135,,140,,140,,138,,143,,143,,145,,145,,150,,150,,150,,150,,150,,150,,155,,150,,155,,165,,160,,155,,165,,170,,165,,170,,170,,180,,170,,178,,175,,178,,185,,175,,175,,170,,185,,180,,195,,188,,190,,190,,180,,190,,195,,200,,195,,210,,225,,225,,220,,223,,210,,230,,265,,260,,280,,250,,280,,290,,290,,280,,280,,290,,320,,300,,300,,290,,300,,290,,300,,300,,300,,310,,330,,330,,380,,400,,360,,400,
Kogarah,130,s,123,s,130,s,123,s,130,,125,s,125,,125,s,120,,125,s,125,s,123,s,125,s,125,s,125,s,120,s,125,,125,,120,,128,s,130,s,140,s,130,s,130,s,130,s,-,,140,,140,s,145,s,145,s,150,,145,s,145,s,145,s,145,,150,s,155,,155,s,160,,168,,168,s,175,,180,,168,,183,,178,s,170,s,185,,175,s,178,,165,s,175,s,230,,195,,200,,200,,188,,208,s,193,,185,,180,,190,,210,,210,s,250,s,260,,215,s,260,,245,s,230,,240,,280,s,240,s,295,s,250,s,273,s,320,s,280,s,288,s,270,s,300,s,310,s,300,s,300,s,308,s,295,s,300,s,330,s,300,s,350,s,370,s,315,,335,s,375,s,350,s,310,,350,s,350,s,350,s
Ku-Ring-Gai,150,s,150,s,115,s,150,s,150,s,140,s,155,s,145,s,145,s,150,s,153,s,150,s,150,s,150,s,148,s,155,s,155,,165,s,150,s,160,s,150,s,150,s,158,s,163,s,160,s,175,s,165,s,180,s,180,s,185,s,165,s,185,s,190,s,180,s,200,s,195,s,188,,198,s,200,,210,s,230,,228,,225,s,238,s,238,,235,,235,s,220,,265,s,225,,210,s,250,s,240,s,235,s,230,s,240,s,225,s,245,s,210,s,250,s,240,s,260,,245,s,260,s,255,s,260,s,265,s,260,s,250,s,275,s,275,s,288,s,280,s,335,s,305,s,320,s,335,,370,,325,,380,,380,,390,,350,,385,,410,,470,,445,,420,,470,,450,,450,,440,,460,,473,,468,,460,,475,,465,,460,
Manly,150,,150,,150,,155,,155,,150,,150,,155,,150,,150,,150,,150,,155,,150,,160,,160,,165,,170,,160,,170,,170,,170,,180,,180,,180,,175,,190,,190,,198,,200,,200,,200,,210,,230,,230,,235,,240,,240,,250,,260,,273,,275,,275,,295,,300,,280,,275,,290,,300,,295,,300,,300,,300,,300,,300,,300,,300,,300,,280,,320,,320,,315,,310,,320,,330,,320,,325,,350,,350,,350,,350,,375,,375,,385,,390,,400,,400,,390,,380,,410,,435,,440,,430,,450,,450,,450,,450,,450,,480,,475,,460,,478,,500,,500,,480,,500,,528,,528,,500,
Parramatta,120,,120,,120,,120,,118,,125,,120,,120,,125,,120,,115,,120,,115,,120,,125,,120,,120,,130,,120,,125,,125,,125,,125,,125,,130,,130,,135,,130,,140,,140,,140,,140,,145,,145,,125,,135,,125,,150,,135,,150,,155,,155,,160,,150,,158,,160,,165,,170,,165,,165,,170,,165,,180,,170,,168,,188,,198,,185,,180,,190,,200,,205,,200,,200,,190,,200,,210,,200,,220,,210,,223,,230,,250,,265,,270,,270,,260,,280,,310,,300,,300,,320,,320,,310,,330,,330,,320,,320,,325,,340,,310,,320,,350,,338,,335,,350,,333,,380,,348,
Rockdale,135,,130,,130,,130,,135,,130,,130,,130,,130,,130,,135,,130,,130,,125,,130,,130,,130,,135,,135,,130,,130,,140,,140,,145,,140,,150,,140,,145,,150,,150,,145,,150,,145,,150,,155,,155,,160,,160,,165,,160,,165,,170,,180,,170,,175,,180,,190,,175,,180,,180,,175,,180,,185,,180,,185,,185,,200,,200,,225,,220,,205,,200,,220,,200,,230,,210,,230,,230,,260,,240,,260,,283,,270,,320,,283,,290,,325,,305,,300,,300,,300,,330,,330,,330,,320,,350,,320,,410,,350,,350,,390,,360,,360,,395,,360,,360,,383,,410,,410,
Ryde,125,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,125,,130,,125,,125,,130,,130,,130,,130,,135,,135,,140,,140,,140,,145,,145,,145,,150,,150,,150,,155,,155,,160,,160,,155,,160,,163,,165,,170,,170,,175,,180,,180,,185,,180,,180,,175,,180,,180,,185,,180,,180,,185,,190,,185,,180,,185,,190,,190,,193,,190,,200,,195,,200,,200,,210,,210,,220,,220,,230,,240,,260,,260,,273,,280,,270,,275,,280,,285,,290,,300,,300,,310,,320,,320,,335,,320,,330,,325,,350,,345,,350,,340,,360,,360,,370,,420,,400,
Strathfield,120,s,125,s,128,s,132,s,125,s,140,s,130,s,135,s,133,s,125,s,130,s,130,s,130,s,130,s,123,s,130,s,130,s,145,s,130,s,135,s,135,,113,s,143,s,130,s,140,s,153,s,-,,-,,153,s,160,s,145,s,160,s,160,s,160,s,150,s,160,s,150,s,260,,200,s,180,s,185,s,250,s,220,,290,,260,,200,,220,,240,s,220,,210,,250,,270,s,270,,250,,225,,280,,200,,250,,240,,240,,240,,250,,220,,260,,250,,255,s,260,,260,,270,,270,,250,,280,,300,,310,,315,,330,,310,s,325,,340,s,320,,360,,365,,340,,350,s,320,,360,,380,,350,,370,,365,,373,s,380,,380,s,390,,385,,380,,385,s,400,,380,
Willoughby,170,,160,,165,,168,,163,,160,,170,,160,,160,,165,,160,,165,,165,,160,,155,,170,,165,,160,,168,,175,,180,,193,,190,,190,,195,,210,,200,,210,,230,,228,,220,,220,,230,,230,,230,,230,,230,,240,,250,,250,,310,,330,,300,,310,,315,,320,,320,,310,,320,,320,,315,,330,,330,,340,,330,,328,,320,,340,,330,,320,,340,,340,,345,,330,,350,,350,,350,,350,,365,,380,,380,,400,,410,,408,,420,,430,,430,,440,,430,,435,,440,,450,,455,,450,,460,,460,,475,,480,,475,,480,,480,,485,,485,,500,,490,,500,,470,,500,,525,
Outer Ring,110,,115,,110,,115,,110,,110,,117,,115,,115,,120,,120,,120,,115,,120,,115,,120,,120,,120,,120,,120,,120,,120,,125,,125,,125,,130,,130,,130,,130,,135,,135,,135,,135,,140,,129,,135,,130,,140,,150,,150,,150,,150,,155,,160,,150,,155,,150,,155,,155,,160,,150,,155,,160,,160,,160,,175,,160,,170,,170,,170,,170,,180,,175,,185,,180,,190,,190,,185,,190,,200,,200,,210,,210,,220,,220,,230,,225,,235,,240,,240,,250,,250,,250,,250,,260,,260,,260,,280,,265,,280,,285,,280,,282,,300,,280,,290,,300,,300,,300,
The Hills Shire,125,s,-,,113,s,128,s,115,s,125,s,120,s,90,s,110,s,115,s,130,s,100,s,110,s,110,s,120,s,115,s,130,s,125,s,125,s,100,s,120,s,130,s,-,,135,s,120,s,123,s,138,s,135,s,130,s,145,s,140,s,135,s,140,s,130,s,145,s,140,s,125,s,150,s,150,s,150,s,150,s,160,s,160,s,170,s,163,s,150,s,170,s,145,s,165,s,170,s,165,s,170,,172,s,170,s,163,s,170,s,150,,170,s,180,s,175,s,160,s,180,s,185,s,190,s,180,s,195,s,195,s,195,s,200,,200,s,220,,240,s,220,,270,s,290,s,228,,230,s,278,s,260,s,250,,265,,323,,310,,275,,295,,283,,310,,320,s,300,,310,,350,,305,,320,s,325,,350,,420,,330,,330,,410,
